Path Accuracy,DOFs,Error
0.581575,0.75,1.14408
1.1307e-15,1,1
0.602865,0.75,1.16537
1.1307e-15,1,1
1.1307e-15,1,1
1.1307e-15,1,1
1.1307e-15,1,1
0.581575,0.75,1.14408
6.57781,0.5,6.82781
1.1307e-15,1,1
1.1307e-15,1,1
1.1307e-15,1,1
0.602865,0.75,1.16537
1.1307e-15,1,1
1.1307e-15,1,1
0.602865,0.75,1.16537
3.46549,0.5,3.71549
1.1307e-15,1,1
0.581575,0.75,1.14408
1.1307e-15,1,1
1.1307e-15,1,1
0.581575,0.75,1.14408
1.1307e-15,1,1
0.581575,0.75,1.14408
1.1307e-15,1,1
0.581575,0.75,1.14408
0.581575,0.75,1.14408
1.1307e-15,1,1
0.602865,0.75,1.16537
6.57781,0.5,6.82781
25.6389,0.25,25.7014
6.57781,0.5,6.82781
0.602865,0.75,1.16537
1.1307e-15,1,1
1.1307e-15,1,1
0.581575,0.75,1.14408
1.1307e-15,1,1
1.1307e-15,1,1
0.581575,0.75,1.14408
1.1307e-15,1,1
0.602865,0.75,1.16537
3.46549,0.5,3.71549
3.46549,0.5,3.71549
6.57781,0.5,6.82781
0.602865,0.75,1.16537
1.1307e-15,1,1
1.1307e-15,1,1
1.1307e-15,1,1
0.581575,0.75,1.14408
1.1307e-15,1,1
0.602865,0.75,1.16537
1.1307e-15,1,1
1.1307e-15,1,1
0.581575,0.75,1.14408
1.1307e-15,1,1
1.1307e-15,1,1
0.581575,0.75,1.14408
0.581575,0.75,1.14408
0.602865,0.75,1.16537
1.1307e-15,1,1
0.581575,0.75,1.14408
19.9596,0.5,20.2096
1.1307e-15,1,1
1.1307e-15,1,1
1.1307e-15,1,1
0.581575,0.75,1.14408
19.9596,0.5,20.2096
6.57781,0.5,6.82781
1.1307e-15,1,1
0.581575,0.75,1.14408
19.9596,0.5,20.2096
3.46549,0.5,3.71549
25.6389,0.25,25.7014
0.602865,0.75,1.16537
1.1307e-15,1,1
1.1307e-15,1,1
1.1307e-15,1,1
1.1307e-15,1,1
0.602865,0.75,1.16537
1.1307e-15,1,1
1.1307e-15,1,1
0.581575,0.75,1.14408
0.602865,0.75,1.16537
1.1307e-15,1,1
1.1307e-15,1,1
1.1307e-15,1,1
0.581575,0.75,1.14408
0.602865,0.75,1.16537
1.1307e-15,1,1
0.602865,0.75,1.16537
3.01875,0.5,3.26875
25.6389,0.25,25.7014
6.57781,0.5,6.82781
25.6389,0.25,25.7014
6.57781,0.5,6.82781
25.6389,0.25,25.7014
25.6389,0.25,25.7014
25.6389,0.25,25.7014
25.6389,0.25,25.7014
25.6389,0.25,25.7014
